detected_at,match_number,round,date,team1,team2,score,actual_advancing_team,predicted_advancing_team,actual_advance_probability,signals,adjustment_team,adjustment_points,adjustment_reason,active_until,source,status
2026-07-10T02:56:26+00:00,73,Round of 32,2026-06-28,South Africa,Canada,0-1,Canada,South Africa,0.4876,upset over model pick South Africa | underdog advance probability 48.8%,Canada,38,Canada vs South Africa: upset over model pick South Africa; underdog advance probability 48.8%,2026-07-11,match_intelligence_agent,context_candidate
2026-07-10T02:56:26+00:00,74,Round of 32,2026-06-29,Germany,Paraguay,1-1,Paraguay,Germany,0.3983,upset over model pick Germany | underdog advance probability 39.8% | advanced after penalties,Paraguay,42,Paraguay vs Germany: upset over model pick Germany; underdog advance probability 39.8%; advanced after penalties,2026-07-11,match_intelligence_agent,context_candidate
2026-07-10T02:56:26+00:00,75,Round of 32,2026-06-29,Netherlands,Morocco,1-1,Morocco,Morocco,0.5157,advanced after penalties,Morocco,8,Morocco vs Netherlands: advanced after penalties,2026-07-11,match_intelligence_agent,context_candidate
2026-07-10T02:56:26+00:00,76,Round of 32,2026-06-29,Brazil,Japan,2-1,Brazil,Brazil,0.6838,narrow one-goal win as clear favorite,Brazil,-8,Brazil vs Japan: narrow one-goal win as clear favorite,2026-07-11,match_intelligence_agent,context_candidate
2026-07-10T02:56:26+00:00,77,Round of 32,2026-06-30,France,Sweden,3-0,France,France,0.9094,controlled 3-goal win,France,18,France vs Sweden: controlled 3-goal win,2026-07-11,match_intelligence_agent,context_candidate
2026-07-10T02:56:26+00:00,78,Round of 32,2026-06-30,Côte d'Ivoire,Norway,1-2,Norway,Norway,0.5246,no special signal,,,,2026-07-11,match_intelligence_agent,note_only
2026-07-10T02:56:26+00:00,79,Round of 32,2026-06-30,Mexico,Ecuador,2-0,Mexico,Mexico,0.7787,controlled 2-goal win,Mexico,16,Mexico vs Ecuador: controlled 2-goal win,2026-07-11,match_intelligence_agent,context_candidate
2026-07-10T02:56:26+00:00,80,Round of 32,2026-07-01,England,Congo DR,2-1,England,England,0.838,hard win despite favorite probability 83.8% | narrow one-goal win as clear favorite,England,-22,England vs Congo DR: hard win despite favorite probability 83.8%; narrow one-goal win as clear favorite,2026-07-11,match_intelligence_agent,context_candidate
2026-07-10T02:56:26+00:00,81,Round of 32,2026-07-01,USA,Bosnia and Herzegovina,2-0,USA,USA,0.7823,controlled 2-goal win,USA,16,USA vs Bosnia and Herzegovina: controlled 2-goal win,2026-07-11,match_intelligence_agent,context_candidate
2026-07-10T02:56:26+00:00,82,Round of 32,2026-07-01,Belgium,Senegal,3-2,Belgium,Belgium,0.636,no special signal,,,,2026-07-11,match_intelligence_agent,note_only
