team,adjustment_points,reason,source,active_from,active_until
Paraguay,45,Automatic knockout strength adjustment after Match 74: advanced against model pick Germany; pre-match advance probability 33.4%; overcame Germany's adjusted rating edge; advanced after penalties,https://www.theguardian.com/football/live/2026/jun/29/germany-v-paraguay-world-cup-2026-last-32-live,2026-06-29,2026-07-04
Morocco,28,Automatic knockout strength adjustment after Match 75: advanced against model pick Netherlands; pre-match advance probability 49.5%; advanced after penalties,https://www.theguardian.com/football/live/2026/jun/29/netherlands-v-morocco-world-cup-2026-live,2026-06-29,2026-07-04
USA,22,FIFA cleared Folarin Balogun for Belgium match after suspended red-card ban; USA top scorer remains available,https://www.theguardian.com/football/2026/jul/05/folarin-balogun-red-card-suspension-lifted-usmnt-belgium-world-cup,2026-07-05,2026-07-06
Egypt,10,Automatic knockout strength adjustment after Match 88: advanced after penalties,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/power-rankings,2026-07-03,2026-07-07
Argentina,-18,Narrow 3-2 win over Cabo Verde signals harder-than-expected knockout performance before next match,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/power-rankings,2026-07-03,2026-07-07
France,-14,Narrow 1-0 win over Paraguay suggests attacking/composure warning before Morocco quarter-final,https://www.theguardian.com/football/live/2026/jul/04/france-v-paraguay-world-cup-last-32-live,2026-07-04,2026-07-09
Morocco,24,Convincing 3-0 knockout win over Canada strengthens current tournament form before France quarter-final,https://www.theguardian.com/football/live/2026/jul/04/canada-v-morocco-world-cup-2026-last-16-live,2026-07-04,2026-07-09
Norway,38,Haaland scored twice late to eliminate Brazil 2-1; superstar finishing and clutch knockout form increase Norway's next-match threat,https://www.theguardian.com/football/2026/jul/05/brazil-norway-world-cup-2026-last-16-match-report,2026-07-05,2026-07-11
England,32,England beat Mexico 3-2 despite playing much of the second half with 10 men; Bellingham Kane and Pickford showed knockout resilience,https://www.theguardian.com/football/2026/jul/06/england-mexico-match-report-jude-bellingham-harry-kane-world-cup,2026-07-05,2026-07-11
England,-18,Jarell Quansah red card creates next-match defensive suspension risk before Norway quarter-final,https://www.theguardian.com/football/2026/jul/06/england-mexico-match-report-jude-bellingham-harry-kane-world-cup,2026-07-05,2026-07-11
Argentina,-28,Argentina has labored through consecutive 3-2 knockout wins over Cabo Verde and Egypt; trailing Egypt 2-0 and needing a late Messi-led comeback signals quarter-final vulnerability despite strong resilience,https://www.theguardian.com/football/live/2026/jul/07/argentina-v-egypt-world-cup-2026-last-16-live,2026-07-07,2026-07-11
Switzerland,18,Switzerland eliminated Colombia on penalties after a tense 0-0; Kobel made crucial saves and the team showed knockout resilience despite missing Johan Manzambi,https://www.theguardian.com/football/2026/jul/08/switzerland-colombia-world-cup-2026-last-16-match-report,2026-07-07,2026-07-11
Canada,25,Automatic knockout strength adjustment after Match 73: advanced against model pick South Africa; pre-match advance probability 48.8%; won in regulation against a stronger-rated opponent,https://www.theguardian.com/football/live/2026/jun/28/south-africa-v-canada-world-cup-2026-last-32-live,2026-06-28,2026-07-04
